batch_size,sequence_length,model_dimension,precision,is_causal,device,O_diff_l2,O_diff_max,K_grad_diff_l2_rel,K_grad_diff_max,V_grad_diff_l2_rel,V_grad_diff_max,Q_grad_diff_l2_rel,Q_grad_diff_max
3,2048,32,torch.float16,True,cuda,0.010505862534046173,0.0008754730224609375,0.0001785755157470703,0.00390625,6.526708602905273e-05,0.00390625,0.0003342628479003906,0.001953125
3,2048,32,torch.float16,False,cuda,0.0045374613255262375,9.733438491821289e-05,0.00014281272888183594,0.0009765625,7.015466690063477e-05,0.0009765625,0.0003409385681152344,0.000244140625
3,2048,32,torch.float32,True,cuda,0.0515495166182518,0.002333402633666992,0.0018109543016180396,0.011626243591308594,0.0004170836182311177,0.004570960998535156,0.001777344266884029,0.002959728240966797
3,2048,32,torch.float32,False,cuda,0.026740295812487602,0.0007156580686569214,0.001822626800276339,0.005410671234130859,0.0004237787507008761,0.003041505813598633,0.001938086235895753,0.0015071630477905273
3,2048,128,torch.bfloat16,True,cuda,0.16115514934062958,0.007033348083496094,0.00188446044921875,0.03125,0.00072479248046875,0.03125,0.0026397705078125,0.0078125
3,2048,128,torch.bfloat16,False,cuda,0.07317278534173965,0.0006192624568939209,0.0015411376953125,0.00390625,0.000583648681640625,0.0078125,0.002593994140625,0.0009765625
3,2048,128,torch.float16,True,cuda,0.020600998774170876,0.0009417533874511719,0.00023365020751953125,0.001953125,0.0001081228256225586,0.00390625,0.0003323554992675781,0.0009765625
3,2048,128,torch.float16,False,cuda,0.00915864109992981,7.671117782592773e-05,0.00019252300262451172,0.0009765625,5.6624412536621094e-05,0.0009765625,0.0003237724304199219,0.000244140625
3,2048,128,torch.float32,True,cuda,0.10190241038799286,0.002254486083984375,0.0017274031415581703,0.010352134704589844,0.0003758181119337678,0.004136085510253906,0.0016681021079421043,0.0059299468994140625
3,2048,128,torch.float32,False,cuda,0.05141404643654823,0.0007212609052658081,0.0018166470108553767,0.00231170654296875,0.00037372997030615807,0.001184225082397461,0.0019658382516354322,0.000744551420211792
3,4096,32,torch.bfloat16,True,cuda,0.08702248334884644,0.005545854568481445,0.00121307373046875,0.03125,0.000568389892578125,0.03125,0.0027008056640625,0.0078125
3,4096,32,torch.bfloat16,False,cuda,0.036770954728126526,0.0005436986684799194,0.000972747802734375,0.0078125,0.0004177093505859375,0.0078125,0.0027008056640625,0.0009765625
3,4096,32,torch.float16,True,cuda,0.0112638920545578,0.0010051727294921875,0.00015854835510253906,0.00390625,6.818771362304688e-05,0.00390625,0.0003352165222167969,0.0009765625
3,4096,32,torch.float16,False,cuda,0.004711388144642115,6.760656833648682e-05,0.00012123584747314453,0.0009765625,6.008148193359375e-05,0.0009765625,0.000324249267578125,0.0001220703125
3,4096,32,torch.float32,True,cuda,0.05729148909449577,0.00258791446685791,0.0018115317216143012,0.016157150268554688,0.00043115089647471905,0.006002902984619141,0.0018495372496545315,0.0034788846969604492
3,4096,32,torch.float32,False,cuda,0.027579069137573242,0.0018433332443237305,0.0018221723148599267,0.0073223114013671875,0.0004270496137905866,0.0026912689208984375,0.0020152952056378126,0.0023925304412841797
3,4096,128,torch.bfloat16,True,cuda,0.17634886503219604,0.007159709930419922,0.0016632080078125,0.03125,0.000499725341796875,0.03125,0.002685546875,0.015625
3,4096,128,torch.bfloat16,False,cuda,0.07394865900278091,0.0005636811256408691,0.00131988525390625,0.00390625,0.0004291534423828125,0.0078125,0.0025634765625,0.0009765625
3,4096,128,torch.float16,True,cuda,0.021945027634501457,0.0007882118225097656,0.00020623207092285156,0.001953125,7.766485214233398e-05,0.00390625,0.0003285408020019531,0.0009765625
3,4096,128,torch.float16,False,cuda,0.009264138527214527,5.9798359870910645e-05,0.00016355514526367188,0.00048828125,5.716085433959961e-05,0.0009765625,0.00032329559326171875,0.0001220703125
3,4096,128,torch.float32,True,cuda,0.11054731160402298,0.0022220611572265625,0.0017591248033568263,0.009715557098388672,0.00038173850043676794,0.0041484832763671875,0.001726991729810834,0.00420689582824707
3,4096,128,torch.float32,False,cuda,0.052048418670892715,0.00043826550245285034,0.0018131276592612267,0.002630472183227539,0.0003765705623663962,0.0009906291961669922,0.0019664503633975983,0.0005585998296737671
3,8192,32,torch.bfloat16,True,cuda,0.09425626695156097,0.006871461868286133,0.0011138916015625,0.03125,0.0004787445068359375,0.03125,0.00262451171875,0.0078125
3,8192,32,torch.bfloat16,False,cuda,0.03772599995136261,0.0003425478935241699,0.00081634521484375,0.0078125,0.0003814697265625,0.0078125,0.0026702880859375,0.0009765625
3,8192,32,torch.float16,True,cuda,0.011690975166857243,0.0009179115295410156,0.00013363361358642578,0.00390625,8.577108383178711e-05,0.00390625,0.00033926963806152344,0.0009765625
3,8192,32,torch.float16,False,cuda,0.00470828777179122,3.945082426071167e-05,0.00010186433792114258,0.001953125,5.310773849487305e-05,0.0009765625,0.00033783912658691406,0.0001220703125
3,8192,32,torch.float32,True,cuda,0.06120196729898453,0.0024144649505615234,0.0018066390184685588,0.016577720642089844,0.00044428781257010996,0.007239341735839844,0.0018113135593011975,0.0031969547271728516
3,8192,32,torch.float32,False,cuda,0.02787221595644951,0.0005323886871337891,0.0018237241310998797,0.006263017654418945,0.00043555357842706144,0.0030449628829956055,0.002052644267678261,0.0007522106170654297
3,8192,128,torch.bfloat16,True,cuda,0.18711961805820465,0.008076190948486328,0.00148773193359375,0.0625,0.000438690185546875,0.03125,0.0026397705078125,0.015625
3,8192,128,torch.bfloat16,False,cuda,0.07488218694925308,0.0003204718232154846,0.00110626220703125,0.00390625,0.0003604888916015625,0.0078125,0.002593994140625,0.00048828125
3,8192,128,torch.float16,True,cuda,0.023126725107431412,0.0009100437164306641,0.00017654895782470703,0.001953125,9.40561294555664e-05,0.00390625,0.0003235340118408203,0.0009765625
3,8192,128,torch.float16,False,cuda,0.009387330152094364,4.1425228118896484e-05,0.00013887882232666016,0.00048828125,5.060434341430664e-05,0.0009765625,0.00032329559326171875,0.0001220703125
3,8192,128,torch.float32,True,cuda,0.11936241388320923,0.0034759044647216797,0.0017743953503668308,0.010716915130615234,0.0003970902762375772,0.005019187927246094,0.0017572318902239203,0.003299713134765625
3,8192,128,torch.float32,False,cuda,0.05275987461209297,0.00045865029096603394,0.0018052628729492426,0.0023435354232788086,0.00038452475564554334,0.0010471343994140625,0.001966228010132909,0.0006550699472427368
5,256,32,torch.bfloat16,True,cuda,0.08428936451673508,0.007746696472167969,0.0021209716796875,0.015625,0.00099945068359375,0.03125,0.0028839111328125,0.015625
5,256,32,torch.bfloat16,False,cuda,0.045025311410427094,0.0018628239631652832,0.00180816650390625,0.0078125,0.000858306884765625,0.0078125,0.002685546875,0.00390625
5,256,32,torch.float16,True,cuda,0.01053407322615385,0.0006891489028930664,0.0002551078796386719,0.001953125,0.000141143798828125,0.00390625,0.00033473968505859375,0.001953125
5,256,32,torch.float16,False,cuda,0.005604833830147982,0.00016039609909057617,0.00022220611572265625,0.0009765625,0.00010192394256591797,0.0009765625,0.0003323554992675781,0.00048828125
5,256,32,torch.float32,True,cuda,0.04741716384887695,0.0024390220642089844,0.001622415496967733,0.007121086120605469,0.0004118003707844764,0.004584312438964844,0.001549958367832005,0.0032439231872558594
